Food Item,Energy (kJ/100g),Dietary Fiber (g/100g),Fat (g/100g),Ash (g/100g),Total sugars (g/100g),Calcium (mg/100g),Phosphorus (mg/100g),Magnesium (mg/100g),Potassium (mg/100g),Sodium (mg/100g),Manganese (mg/100g),Zinc (mg/100g),Copper (mg/100g),Iron (mg/100g),Selenium (ug/100g)
"Palm kernel meal, oil 5-20%",1990,20.7,8.3,4.8,2.2,300,600,320,690,17,18.8,6.7,2.7,55.3,90
"Palm kernel meal, oil < 5%",1890,20.7,3.2,4.8,2.2,300,610,340,740,17,24.9,5.2,3.1,17.7,90
"Rapeseed meal, oil 5-20%/rapeseed cake/rapeseed meal/canola cake/canola meal ",2140,12.7,12.8,6.7,10,820,1190,530,1250,56,6.3,6.4,0.5,18.7,20
"Rapeseed meal, oil < 5%/rapeseed cake/rapeseed meal/canola cake/canola meal ",1930,14.3,2.4,7.6,10.5,860,1270,460,1410,29,6.8,7.8,0.9,18.3,100
"Sesame meal, oil > 5%/sesame cake, sesame oil cake.",2080,7.7,11.9,11.9,3.6,1990,1230,590,1040,7,6.8,13.3,3.7,163.2,20
"Sheanut oil meal, oil > 5%",2000,10.3,11.6,5.9,0,250,200,160,1440,125,17.6,27.6,18.9,45.9,20
"Soybean meal, oil 5-20%",2110,6.4,9.5,6.6,9.3,370,690,290,2240,11,3.7,5.2,1.8,28,20
"Soybean meal, oil < 5%, 46% protein + oil",1950,7.2,1.9,7.4,10.6,390,710,330,2450,9,3.6,4.1,1.6,27.4,20
"Soybean meal, oil < 5%, 48% protein + oil",1970,6.8,1.8,7.1,9.2,380,710,310,2380,16,4.5,6.2,1.9,27.4,20
"Soybean meal, oil < 5%, 48% protein + oil, extruded",1970,6.8,1.8,7.1,9.2,380,710,310,2380,16,4.5,6.2,1.9,27.4,20
"Soybean meal, oil < 5%, 50% protein + oil",1970,4.4,1.7,7.3,10.8,390,710,320,2430,13,4.4,5.7,1.7,20.1,50
"Soy bean meal/SBM-43, with hulls (43 g/100 g protein",1866,9.3,19.94,4.87,7.33,277,704,280,1797,2,2.517,4.89,1.658,15.7,22
"Soy bean meal/SBM-47, without hulls (47 g/100 g protein)",1866,9.3,19.94,4.87,7.33,277,704,280,1797,2,2.517,4.89,1.658,15.7,22
"Sunflower meal, oil 5-20%, dehulled",2100,19.7,9.5,6.6,7.4,420,1060,520,1540,8,4.5,9.4,3.2,49.6,30
"Sunflower meal, oil 5-20%, non dehulled",2220,27.5,15.8,5.6,6.3,390,900,450,1320,13,3.2,7.8,2.8,29.4,30
"Sunflower meal, oil < 5%, dehulled",1940,19.6,1.4,7.2,7.4,440,1150,560,1660,8,4.5,9.4,3.2,49.6,30
"Sunflower meal, oil < 5%, non dehulled",1940,29.5,2.1,6.8,6,430,1100,530,1590,13,3.9,8.6,3.4,19.8,30
"Fish meal, protein 62%",2020,0,10.3,19.3,0,4860,2990,240,820,1176,2,10.7,1.2,40.5,40
"Fish meal, protein 65%",2050,0,10,18.2,0,4480,2860,240,850,1147,1.9,10.7,1.2,38.2,40
"Fish meal, protein 70%",2130,0,9.8,15.2,0,3370,2480,230,950,997,1.3,10.3,1,31.4,40
Fish (Chinese),531,0,5.6,1.46,0,41,415,29,333,49,0.042,1.48,0.057,1.24,30
"Fish soluble, hydrolysed, (FS Peptide, France), 89% protein",2360,0.1,11,7.3,0,490,1490,200,1190,1053,5.4,12.7,3.8,32.6,200
Shrimp meal,1680,14.3,5.2,26.1,0,11500,1430,910,520,930,0.3,6,2.4,6.9,70
"Beef, Boiled (86,3 g/100 g dm protein), topside steak",528,0,3.26,0.63,0,6,129,16,193,32,0.007,5.02,0.108,1.78,27
"Beef, raw (81,2 g/100 g dm protein), topside steak",828,0,12.73,1.71,0,12,175,19,289,68,0.01,4.55,0.063,1.99,0
"Beef, grilled (88,4 g/100 g dm protein),  topside steak",660,0,3.37,1.26,0,19,305,17,438,76,0.004,4.92,0.066,3.26,10
"Beef, pan fried (83,8 g/100 g dm protein), topside steak",954,0,8.33,1.53,0,6,286,35,484,65,0.02,4.58,0.129,3.4,0
"Beef, roasted (84,6 g/100 g dm protein),  topside steak",658,0,3.72,1.27,0,17,269,15,387,67,0.003,4.34,0.058,2.88,14
"Black soldier fly larvae, fat < 20%, dried",2170,16.1,12,12.8,4.7,4320,800,390,1050,155,25.8,11.6,1.4,19.8,0
"Black soldier fly larvae, fat > 20%, dried",2580,9.4,35.5,11.7,0,3300,720,320,760,99,20.3,10.1,1.2,40.9,0
"Black soldier fly, prepupae, Chinese, 43,1% crude protein",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
bovine muscle hydrolysate (90 g/100 g dm protein),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"bovine collagen hydrolysate (112 g/100 g dm protein, measured as Nitrogen *6,25 so can be slightly above 100)",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Chicken, cooked",770,0,7.42,0.84,0,13,156,22,178,62,0.018,0.97,0.044,0.92,82
"Egg, whole, boiled",649,0,10.61,1.08,1.12,50,172,10,126,124,0.026,1.05,0.013,1.19,520
Egg white protein,187,0,0,0.7,1,6.63,13.5,11.4,147,177,0,0,0.02,0,8.68
"House fly, prepupae, Chinese, 52,9% crude protein",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Mealworm larvae, dried",2780,5.1,35.6,3.6,0,240,770,220,950,83,0.9,12.5,1.8,5.9,50
"Mealworm larvae meal, defatted (Korea), 68% crude protein",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Mealworm larvae hydrolysate, defatted (Tenebrior molitor), 58,9% crude protein",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Poultry by-product, fermented, Korea, 71.5% protein",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Processed animal proteins, pig",1840,1.6,14.3,28.2,0,9120,4420,210,520,638,2.6,11.4,2.1,60.9,50
"Processed animal proteins, poultry, protein 45-60%",2540,1.3,30.8,10.9,0.4,2090,1040,90,570,258,2.5,8.1,1.5,513.1,50
"Processed animal proteins, poultry, protein 60-70%",2440,1,23.2,10.7,0,2320,1250,130,610,401,2.3,10.1,4,158.7,50
"Processed animal proteins, poultry, protein > 70%",2380,1.3,12.1,5.5,0,1530,640,70,380,164,1.9,11.4,1,48.1,50
Porcine plasma hydrolysate (66 g/100 g dm protein),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Porcine heart hydrolysate (78 g/100 g dm protein),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Porcine muscle hydrolysate (91 g/100 g dm protein),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Casein,571,0,9.97,0.38,0,9,64,0,191,79,0.04,0.02,0.025,0.03,89
Infant formula (cow based),2134,0,27,3,57,390,220,41,550,138,0.077,5.1,0.38,9.2,1525
"Cheese whey (CP<17,5%)",1808,0,27,0.4,33.1,340,332,0,1300,511,0,0,0,0.55,5
"Cheese whey (CP 17,5-27,5%)",1808,0,27,0.4,33.1,340,332,0,1300,511,0,0,0,0.55,5
"Cheese whey (CP>27,5%)",1808,0,27,0.4,33.1,340,332,0,1300,511,0,0,0,0.55,5
"Milk powder, skimmed, dried",1830,0,1.6,8.5,50.5,1190,940,120,1650,428,0.2,4.5,0.3,0.7,10
Skim milk powder,145,0,0.18,0.77,4.85,204,101,11,166,52,0,0.4,0.011,0.04,458
Milk protein concentrate,1720,7.1,17.14,3.65,5.71,500,643,200,1129,329,0,7.14,1,8.57,2500
"Milk powder, whole, dried",2320,0,25.1,6.5,34.9,1100,770,100,1390,466,0.1,3.5,0.2,0.7,20
whey permeate,1560,0,1.4,8.7,86.5,680,690,110,2780,647,0.3,0.4,0.2,0.9,20
"whey powder, acid",1530,0,1.3,11.5,66.2,1430,1000,150,2140,747,0.1,6.5,0.2,0.9,20
"whey powder, sweet",1580,0,1.7,10,66.2,1150,870,150,2100,705,0.06,2,0.2,1,30
"whey, dehydrated",1810,0,10.4,8.8,46.8,920,760,150,2150,670,0.2,6.5,0.2,0.9,20
"whey, dried",2010,0,19.6,8.5,41.6,850,720,150,2150,660,0.2,6.5,0.2,0.9,20
"whey protein isolate, (90,6% proteins, Fonterra)",1503,0,1.16,10.77,1.16,698,581,233,872,372,1.16,8.72,1.163,1.26,2907
"Apple pomace, dried",1920,29,3.3,2.3,6.6,100,140,60,330,284,0.6,0.4,0.3,7.5,4
"Bananas, immature, dried",1700,3.6,1.4,4.6,2,100,100,130,2240,5,0.6,0.6,0.4,1.2,4
"Citrus pulp, dried",1760,14,2.5,6.9,24.4,1700,100,130,940,133,0.8,1.4,0.4,8,0
"Citrus pulp, fresh",1830,12.1,4.3,4.4,25.8,780,150,70,510,60,0.8,1.4,0.5,8,0
"Grape pomace, dried",1910,24.7,6,7.4,2.2,990,270,80,1400,22,1.3,2.5,4.9,36.1,20
"Grape pulp, dried",1860,20.7,5.4,8.3,10.5,1110,300,80,2300,23,1.3,2.5,2.9,36.1,20
Grape seeds,2170,42.4,12.7,3.3,1.2,690,210,120,530,10,0,1.1,1.4,3.4,10
"Tomato pulp, dehydrated",2170,40.6,11,4.8,0.6,500,520,220,1010,155,7.2,0,1.1,22.7,0
Brewers yeast,1980,1.9,4,7,1.9,300,1350,240,2200,174,3.4,10.3,2,9.4,6
Mustard bran,2000,21,15.6,14.2,4.5,940,420,260,410,4354,6.8,7.8,0.9,18.3,100
Single cell protein ,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Soy bean meal ,1409,0,2.39,5.58,0,244,701,306,2490,3,3.8,5.06,2,13.7,40
Soybean meal (conventionally processed) ,1409,0,2.39,5.58,0,244,701,306,2490,3,3.8,5.06,2,13.7,40
"Soybean meal (autoclaved, 110oC, 15 min)",1409,0,2.39,5.58,0,244,701,306,2490,3,3.8,5.06,2,13.7,40
"Soybean meal (autoclaved, 110oC, 30 min)",1409,0,2.39,5.58,0,244,701,306,2490,3,3.8,5.06,2,13.7,40
"Soybean meal (autoclaved, 150oC, 3 min)",1409,0,2.39,5.58,0,244,701,306,2490,3,3.8,5.06,2,13.7,40
"Soybean meal (autoclaved, 150oC, 6 min)",1409,0,2.39,5.58,0,244,701,306,2490,3,3.8,5.06,2,13.7,40
"Soybean meal (autoclaved, 150oC, 9 min)",1409,0,2.39,5.58,0,244,701,306,2490,3,3.8,5.06,2,13.7,40
"Soybean meal (autoclaved, 150oC, 12 min)",1409,0,2.39,5.58,0,244,701,306,2490,3,3.8,5.06,2,13.7,40
"Soybean meal (autoclaved, 150oC, 15 min)",1409,0,2.39,5.58,0,244,701,306,2490,3,3.8,5.06,2,13.7,40
"Soybean meal (autoclaved, 150oC, 18 min)",1409,0,2.39,5.58,0,244,701,306,2490,3,3.8,5.06,2,13.7,40
whey protein isolate (WPI),1503,0,1.16,10.77,1.16,698,581,233,872,372,1.16,8.72,1.163,1.26,2907
whey protein concentrate (WPC),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
milk protein concentrate (MPC),1720,7.1,17.14,3.65,5.71,500,643,200,1129,329,0,7.14,1,8.57,2500
skimmed milk powder (SMP),1830,0,1.6,8.5,50.5,1190,940,120,1650,428,0.2,4.5,0.3,0.7,10
pea protein concentrate (PPC),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
soy protein isolate (SPI),1401,0,3.39,3.58,0,178,776,39,81,1005,1.493,4.03,1.599,14.5,0
soya flour,1816,9.6,20.65,4.46,7.5,206,494,429,2515,13,2.275,3.92,2.92,6.37,120
wheat,1840,41.6,1.4,6.6,1.4,440,70,110,1200,17,4.6,1.4,0.4,16.7,20
"Faba beans (cultivar - Alfred), high tannin",1870,9,1.5,3.8,3.4,150,550,190,1160,12,0.8,3.6,1.4,6.8,2
"Faba beans (cultivar - Alfred), high tannin, dehulled, ",1870,9,1.5,3.8,3.4,150,550,190,1160,12,0.8,3.6,1.4,6.8,2
Faba beans (cultivar - Blandine ),1870,8.6,1.2,4,4.1,150,560,200,1200,12,0.8,3.6,1.3,8.5,2
Lupins (cultivar - Lublanc ),2120,13.2,9.6,4,6.8,300,440,160,1110,34,127.5,3.8,0.6,7.2,9
Lupins (cultivar - Australian),2030,15.9,5.9,3.5,5.8,280,380,220,1170,83,6.5,4.3,0.6,6.6,10
Peas (Cultivar - Amino),294,5.9,0.7,0.8,4.7,30,130,28,300,2,0.38,0.75,0.11,1.8,1.02
Peas (Cultivar - Australian),294,5.9,0.7,0.8,4.7,30,130,28,300,2,0.38,0.75,0.11,1.8,1.02
Peas (Cultivar - Finale),294,5.9,0.7,0.8,4.7,30,130,28,300,2,0.38,0.75,0.11,1.8,1.02
"Peas (Cultivar - Frilene), high in trypsin inhibitor",294,5.9,0.7,0.8,4.7,30,130,28,300,2,0.38,0.75,0.11,1.8,1.02
"Peas (Cultivar - Frilene), high in trypsin inhibitor, extruded",294,5.9,0.7,0.8,4.7,30,130,28,300,2,0.38,0.75,0.11,1.8,1.02
"Pea protein isolate, yellow ",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Casein ,571,0,9.97,0.38,0,9,64,0,191,79,0.04,0.02,0.025,0.03,89
"Beef, lean (80%)",525,0,4.3,1,0,5,170,22,360,50,0.011,3.6,0.085,2.1,6.5
"Beef, lean (93%)",525,0,4.3,1,0,5,170,22,360,50,0.011,3.6,0.085,2.1,6.5
Pork,3130,0,80.5,3.65,0,6,52,7,66,2684,0.005,0.9,0.05,0.44,0
Impossible burger ,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Beyond burger,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Burger bun ,1192,3.4,2,2,0.35,49,121,20.8,145,502,0.6,0.754,0.117,1.31,3.1
"Beef, lean (80%) + burger bun",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Pork + burger bun,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Impossible burger + burger bun,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Millet,1582,8.5,4.22,3.25,72.8,8,285,114,195,5,1.632,1.68,0.75,3.01,0
Adlay (Chinese pearl barley),1473,15.6,1.16,1.11,0.8,29,221,79,280,9,1.322,2.13,0.42,2.5,22
Mung bean (32%) + millet (68%),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Adzuki bean (40%)+ adlay (Chinese pearl barley) (60%),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Cornflakes (Kelloggs company),-1,3.3,0.4,5,9.5,5,102,39,168,729,0,1,0,28.9,1786
Quick Oats,1526,11.2,6.5,2.3,1.03,329,622,119,400,4,5.8,2.89,0.2,3.77,1.1
"milk, dried, non fat",1480,0,0.2,7.6,0,280,1011,60,680,2280,0.008,4.03,0.016,0.32,8
Cornflakes + dry milk (ratio of mix 2.6:1),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Quick oats + dry milk (ratio  of mix 2.4:1),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Pinto bean (served with corn tortilla and guacamole),475,5.5,0.9,1.3,0.54,63,101,32,274,239,0.383,0.61,0.259,1.33,0
"Salami (fully coked, cured and fermented), includes pok and pork hearts",1407,0,25.9,4.66,0,15,191,19,316,1740,0.978,2.93,0.357,1.56,0
"Bologna (fully cooked and cured), includes pork and beef",1288,0,24.59,2.85,0,85,163,17,315,960,0.018,2.3,0.052,1.21,84
Beef jerky ,1715,1.8,25.6,6.8,0,20,407,51,597,1785,0.111,8.11,0.227,5.42,0
"Beef, ground, raw",828,0,12.73,1.71,0,12,175,19,289,68,0.01,4.55,0.063,1.99,0
"Beef, ground, cooked",1236,0,21.83,0.9,0,11,174,19,305,77,0.022,4.84,0.077,2.42,0
"ribeye roast, medium rare (cooked to 56oC)",785,0,8.42,1.07,0,5,234,26,363,54,0,6.81,0.097,2.65,5
"ribeye roast, medium (cooked to 64oC)",785,0,8.42,1.07,0,5,234,26,363,54,0,6.81,0.097,2.65,5
"ribeye roast, well-done (ccoked to 72oC)",785,0,8.42,1.07,0,5,234,26,363,54,0,6.81,0.097,2.65,5
"pork belly, raw",2167,0,53.01,0.49,0,5,108,4,185,32,0.006,1.02,0.052,0.52,10
"Bacon, smoked",3756,0,99.5,0.16,0,1,9,0,15,27,0.006,0.06,0.022,0.13,37
"Bacon, smoked, cooked",3756,0,99.5,0.16,0,1,9,0,15,27,0.006,0.06,0.022,0.13,37
"Ham, non-cured",925,0,16.7,3.7,0,7,155,16,319,1194,0,1.94,0.06,0.83,0
"Ham, cured with celery/salt (no nitrite)",1318,0,28.19,2.93,0,8,149,10,239,1088,0.023,1.57,0.07,1.05,0
"Ham, cured ",1318,0,28.19,2.93,0,8,149,10,239,1088,0.023,1.57,0.07,1.05,0
"pork loin, medium (cooked to 63oC)",805,0,8.82,0.98,0,7,223,25,349,46,0.007,2.11,0.077,0.64,4
"pork loin, medium-well (cooked to 68oC)",805,0,8.82,0.98,0,7,223,25,349,46,0.007,2.11,0.077,0.64,4
"pork loin, well-done (cooked to 72oC)",805,0,8.82,0.98,0,7,223,25,349,46,0.007,2.11,0.077,0.64,4
"Chickpea, extruded",1581,12.2,6.04,2.85,10.7,57,252,79,718,24,21.306,2.76,0.656,4.31,67
"Yellow pea, extruded ",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Black soldier fly larvae meal, defatted",2170,16.1,12,12.8,4.7,4320,800,390,1050,155,25.8,11.6,1.4,19.8,0
"Black soldier fly larvae meal, full fat",2580,9.4,35.5,11.7,0,3300,720,320,760,99,20.3,10.1,1.2,40.9,0
"Corn/maize, yellow dent,  raw",1527,7.3,4.74,1.2,0.64,7,210,127,287,35,0.485,2.21,0.314,2.71,214
"Corn/maize, yellow dent, extruded",1527,7.3,4.74,1.2,0.64,7,210,127,287,35,0.485,2.21,0.314,2.71,214
"Wheat, hard red winter, raw",1368,12.2,1.54,1.57,0.41,29,288,126,363,2,3.985,2.65,0.434,3.19,9
"Wheat, hard red winter, extruded",1368,12.2,1.54,1.57,0.41,29,288,126,363,2,3.985,2.65,0.434,3.19,9
"Sorghum, 1.6g/kg tannin, raw",1870,2.8,3.3,2.1,1.3,30,350,170,410,18,1.5,2.4,0.6,10,50
